Autoria;Localização de onde foi publicada a obra referenciada;Data de publicação da obra referenciada;Língua da publicação - tradução;Localização da autoria original;Referência completa como consta no artigo;;;;;;;;;;;;;;;;;;;;;
BUETTINGER, Craig;EUA;1977;Inglês;EUA;BUETTINGER, Craig. Women and antivivisection in Late Nineteenth-century America. Journal of Social History 30, 4, junho de 1977, pp.857-870.;;;;;;;;;;;;;;;;;;;;;
BURROUGHS, John;EUA;1970 (1907);Inglês;EUA;BURROUGHS, Johrn. Camping andTramping with President Roosevelt. New York, Arno Press, (1907) 1970;;;;;;;;;;;;;;;;;;;;;
CHAPMAN, Frank;EUA;1938;Inglês;EUA;CHAPMAN, Frank. My Tropical Air Castle: Nature Study in the Tropics. New York, Appleton, 1938.;;;;;;;;;;;;;;;;;;;;;
CHASE, Agnes;EUA;1925;Inglês;EUA;CHASE, Agnes. Collecting Grasses in Brazil. Journal of the New York Botanical Gardens 26, 1925, pp.196-198;;;;;;;;;;;;;;;;;;;;;
CHASE, Agnes;EUA;1927;Inglês;EUA;CHASE, Agnes. Eastern Brazil through an Agrostologist's Spectacles. Annual Report of the Smithsonian Institution for 1926. Washington, United States Government Printing Office, 1927, pp.383-403;;;;;;;;;;;;;;;;;;;;;
CHASE, Agnes;EUA;1936;Inglês;EUA;CHASE, Agnes. Obituary, Albert Spear Hitchcock Science, vol. 83, nº 2149, 6 de março de 1936, pp.222-224;;;;;;;;;;;;;;;;;;;;;
CHASE, Agnes;EUA;1940;Inglês;EUA;CHASE, Agnest. Studying the Grasses of Venezuela. Explorations and Field-Work of the Smithsonian Institution in 1940. Washington, Smithsonian Institution, pp.1-66;;;;;;;;;;;;;;;;;;;;;
DORNHOFF, G. William;EUA;1974;Inglês;EUA;DORNHOFF, G. William. The Bohemian Grove and Other Retreats: A Study in Ruling-Class Cohesiveness. New York, Harper & Row Publishers, 1974.;;;;;;;;;;;;;;;;;;;;;
DOUGLAS, Marjory Stoneman;EUA;1973;Inglês;EUA;DOUGLAS, Marjory Stoneman. Adventures in a Green World: The Story of David Fairchild and Barbour Lathrop. Miami, Field Research Projects, 1973;;;;;;;;;;;;;;;;;;;;;
FAIRCHILD, David Grandison;EUA;1922;Inglês;EUA;FAIRCHILD, David Grandison. The Jungles of Panama National Geographic Magazine 41, 1922, pp.131-45.;;;;;;;;;;;;;;;;;;;;;
FAIRCHILD, David Grandison;EUA;1938;Inglês;EUA;FAIRCHILD, David Grandison. The World Was My Garden. New York, Charles Scribner's Sons, 1938.;;;;;;;;;;;;;;;;;;;;;
FORD, Linda G.;EUA;1991;Inglês;EUA;FORD, Linda G. Iron-Jawed Angels: The Suffrage Militancy of the National Woman's Party, 1912-1920. Lanham, Maryland, University Press of America, Inc., 1991, pp.123-138, 197-217;;;;;;;;;;;;;;;;;;;;;
FOSBERG, F. Raymond e SWALLEN, Jason R.;EUA;1959;Inglês;EUA;FOSBERG, F. Raymond e SWALLEN, Jason R. Agnes Chase. Taxon 8, maio de 1959, pp.145-151;;;;;;;;;;;;;;;;;;;;;
GLAZER, Penina Migdal e SLATE, Miriam;EUA;1987;Inglês;EUA;"GLAZER, Penina Midgal e SLATE, Miriam. Unequal Colleagues; The Entrance of Women into the Professions, 1840-1940. New Brunswick, New Jersey, Rutgers University Press, 1987, pp.119-128";;;;;;;;;;;;;;;;;;;;;
GLENN, Susan W.;EUA;1997;Inglês;EUA;GLENN, Susan W. Frederick V. Coville. In: STERLING, Keir B. et alii. (eds.) Biographical Dictionary of American and Canadian Naturalists and Environmentalists. Westport, Connecticut, Greenwood Press, 1997, pp.177-178;;;;;;;;;;;;;;;;;;;;;
GROSS, Alfred O.;EUA;1927;Inglês;EUA;GROSS, Alfred O. Barro Colorado Island Biological Station. Annual Report of the Smithsonian Institution for 1926, Washington, United States Government Printing Office, 1927, pp.327-342;;;;;;;;;;;;;;;;;;;;;
HAGEN, Joel B.;EUA;1990;Inglês;EUA;HAGEN, Joel B. Problems in the Institutionalization of Tropical Biology: the Case of the Barro Colorado Island Biological Laboratory. History and Philosophy of the Life Sciences 12, 1990, pp.235-237;;;;;;;;;;;;;;;;;;;;;
HECKADON-MORENO, Stanley;Panamá;1995;Espanhol;Panamá;HECKADON-MORENO, Stanley. El Instituto Smithsonian y el reconocimiento biologico de Panama 1910- 1912. Epocas Segunda Era 10, outubro de 1995, p.11;;;;;;;;;;;;;;;;;;;;;
HENSON, Pamela H.;EUA;1996;Inglês;EUA;HENSON, Pamela H. Foreword. In: CLARK, Lynn G. and POHL, Richard W. (eds.) Agnes Chase's First Book of Grasses: The Structure of Grasses Explained for Beginners. 4th edition, Washington D.C., Smithsonian Institution Press, 1996, pp.xiii-xvi;;;;;;;;;;;;;;;;;;;;;
HENSON, Pamela M.;EUA;1981;Inglês;EUA;HENSON, Pamela M. Chase, Mary Agnes. Dictionary of American Biography, Supplement 7, New York, Charles Scribner's Sons, 1981;;;;;;;;;;;;;;;;;;;;;
HITCHCOCK, Albert S. e CHASE, Agnes;EUA;1910;Inglês;EUA;HITCHCOCK, Albert S. e CHASE, Agnes. North American Species of Panicum, Contributions from the U.S. National Herbarium. Washington, D.C., Smithsonian Institution, 1910, vol. 15;;;;;;;;;;;;;;;;;;;;;
IRWIN, Inez Haynes;EUA;1964;Inglês;EUA;IRWIN, Inez Haynes. Up Hill with Banners Flying. Penobscot, Maine, Traversity Press, 1964, pp.198-299, 344-375;;;;;;;;;;;;;;;;;;;;;
ISELEY, Duane;EUA;1994;Inglês;EUA;ISELEY, Duane. Mary Anne Chase (1869-1963). In: One Hundred and One Botanists. Ames, Iowa, Iowa State University Press, 1994, pp. 303-305;;;;;;;;;;;;;;;;;;;;;
KEENEY, Elizabeth;EUA;1985;Inglês;EUA;KEENEY, Elizabeth. The Botanizers: Amateur Scientists in Nineteenth-Century America. Tese de doutoramento, University of Wisconsin, Madison, 1985, pp.11-12, 35, 41-43, 57-80, 102-105, 161-187;;;;;;;;;;;;;;;;;;;;;
KOHLSTEDT, Sally Gregory;EUA;1996;Inglês;EUA;KOHLSTEDT, Sally Gregory. In from the Periphery: Women in Early American Anthropology. In: HELM, June. (ed.) Pioneers of American Anthropology: The Uses of Biography. Seattle, University of Washington Press, 1996, pp.29-81;;;;;;;;;;;;;;;;;;;;;
MAIENSCHEN, Jane;EUA;1989;Inglês;EUA;MAIENSCHEN, Jane. 100 Years of Exploring Life: The Marine Biological Laboratory at Woods Hole. Boston, Jones and Batlett, 1989, pp.11-16, 19-25, 64-70,104-107;;;;;;;;;;;;;;;;;;;;;
MAXON, William R.;EUA;1937;Inglês;EUA;MAXON, Willliam R. Frederick V. Coville. Science, vol. 85, nº 2203, 19 de março de 1937, pp.280-281.;;;;;;;;;;;;;;;;;;;;;
MCCULLOUGH, David;EUA;1977;Inglês;EUA;MCCULLOUGH, David. The Path Between the Seas: The Creation of the Panama Canal 1870-1914. New York, Simon Schuster, 1977, pp.120-23, 200-203, 252-253, 392-398, 405-408.;;;;;;;;;;;;;;;;;;;;;
MCCULLOUGH, David;EUA;1981;Inglês;EUA;MCCULLOURHG, David. Morning on Horseback. New York, Simon & Schuster, 1981, pp.114-122, 162-163, 213-214;;;;;;;;;;;;;;;;;;;;;
PAULY, Philip J.;EUA;1988;Inglês;EUA;PAULY, Philip J. Summer Resort and Scientific Discipline: Woods Hole and the Structure of American Biology, 1882-1925. In: RAINGER, Ronald et alii. (eds.) The American Development of Biology. Philadelphia, University of Pennsylvania Press, 1988, p.126;;;;;;;;;;;;;;;;;;;;;
RIPLEY, S. Dillon e STEED, James A.;EUA;1987;Inglês;EUA;RIPLEY S. Dillon e STEED, James A. Alexander Wetmore: June 18, 1886- December 7, 1987 Biographical Memoirs. National Academy of Sciences 56, 1987, pp.597-626;;;;;;;;;;;;;;;;;;;;;
ROSSITER, Margaret W.;EUA;1982;Inglês;EUA;ROSSITER, Margaret W. Women Scientists in America: Struggles and Strategies to 1940. Baltimore, Johns Hopkins University Press, 1982, pp.51-72;;;;;;;;;;;;;;;;;;;;;
RUDOLPH, Emanuel D.;EUA;1982;Inglês;EUA;"RUDOLPH, Emanuel D. Women in Nineteenth Century American Botany; A Generally Unrecognized Constituency. American Journal of Botany 69, 1982, pp.1346-1355";;;;;;;;;;;;;;;;;;;;;
SHTEIR, Ann B.;EUA;1996;Inglês;EUA;SHTEIR, An B. Cultivating Women. In: Cultivating Science: Flora's Daughter and Botany in England, 1760 to 1860. Baltimore, Johns Hopkins University Press, 1996, pp.19-22.;;;;;;;;;;;;;;;;;;;;;
SOLOMON, Barbara Miller;EUA;1985;Inglês;EUA;SOLOMON, Barbara Miller. In the Company of Educated Women: A History of Women and Higher Education in America. New Haven, Connecticut, Yale University Press, 1985, pp.43-61, 63-64, 78-90, 115-118, 126-139;;;;;;;;;;;;;;;;;;;;;
SOLOMON, Geri E.;EUA;sd;Inglês;EUA;SOLOMON, Geri E. Mary Vaux Walcott. Biographical Dictionary of Naturalists, pp.807-808.;;;;;;;;;;;;;;;;;;;;;
STERLING, Keir B.;EUA;sd;Inglês;EUA;STERLING, Keir B. Rathbun Mary Jane. Biographical Dictionary of Naturalists, pp.661-662.;;;;;;;;;;;;;;;;;;;;;
STEVENS, Doris;EUA;1976;Inglês;EUA;STEVENS, Doris. Jailed for Freedom. New York, Schocken Books, Inc., 1976, p.356.;;;;;;;;;;;;;;;;;;;;;
STIEBER, Michael T.;EUA;1980;Inglês;EUA;STIEBER, Michale T. Chase, Mary Agnes. In: SICHERMAN, Barbara et alii. (eds.) Notable American Women: The Modern Period. Cambridge, Massachusetts, Belknap Press of Harvard University Press, 1980, pp.146-148.;;;;;;;;;;;;;;;;;;;;;
STIRLING, Matthew W.;EUA;1949/1950;Inglês;EUA;"STIRLING, Matthew W. Exploring the Past in Panama. National Geographic Magazine 95-3, 1949, pp.37-39; e Exploring Ancient Panama by Helicopter. National Geographic Magazine 97-2, 1950, pp.227-246.";;;;;;;;;;;;;;;;;;;;;
WETMORE, Alexander;EUA;1965;Inglês;EUA;WETMORE, Alexander. The Birds of the Republic of Panama. Washington, D.C., Smithsonian Institution Press, 1965-19xx, 4 vols.;;;;;;;;;;;;;;;;;;;;;
WHEELER, William Morton;EUA;1923;Inglês;EUA;WHEELER, William Morton. The Dry Rot of Our Academic Biology. Science 57 1923, pp.61-71.;;;;;;;;;;;;;;;;;;;;;
WILSON, Robert L.;EUA;1971;Inglês;EUA;WILSON, Robert L. Theodore Roosevelt, Outdoorman. New York, Winchester Press, 1971, pp.1-17, 20, 141-142, 172-202.;;;;;;;;;;;;;;;;;;;;;
YOCHELSON, Ellis L.;EUA;sd;Inglês;EUA;YOCHELSON, Ellis L. Charles Doolittle Walcott. Biographical Dictionary of Naturalists, pp.803-806.;;;;;;;;;;;;;;;;;;;;;
ALMEIDA, Jane Soares;Brasil;1998;Português;Brasil;ALMEIDA, Jane Soares. Mulher e Educação: a paixão pelo possível. São Paulo: Unesp, 1998, p. 56.;;;;;;;;;;;;;;;;;;;;;
Barbosa, Rui;Brasil;1942;Português;Brasil;Barbosa, Rui. Obras Completas. Reforma do Ensino Secundário e Superior, Ministério da Educação e Saúde, Rio de Janeiro: 1942.;;;;;;;;;;;;;;;;;;;;;
BARRETO, Tobias;Brasil;1962;Português;Brasil;BARRETO, Tobias. Estudos de Sociologia. Instituto Nacional do Livro. Ministério da Educação e Cultura, 1962.;;;;;;;;;;;;;;;;;;;;;
DUBY, Georges;Portugal;1995;Português (tradução FR>PT);França;DUBY, Georges. As Damas do Século XII - Heloísa, Leonor, Isolda e algumas outras. Lisboa: Teorema, 1995, p.8.;;;;;;;;;;;;;;;;;;;;;
HAHNER, June E.;Brasil;1981;Português (tradução EN>PT);Inglaterra;HAHNER, June E. A Mulher Brasileira e suas lutas sociais e políticas: 1850-1937. São Paulo: Brasiliense, 1981.;;;;;;;;;;;;;;;;;;;;;
HAHNER, June E.;Inglaterra;1990;Inglês;Inglaterra;HAHNER, June E. Emancipating the female Sex: the strugle for women's rights in Brasil – 1850-1940. Durham and London: 1990.;;;;;;;;;;;;;;;;;;;;;
MARGOTTA, Roberto;Inglaterra;1996;Inglês;Inglaterra;MARGOTTA, Roberto. The History of Medicine. London: Paul Lewis, Institute of Neurology, 1996.;;;;;;;;;;;;;;;;;;;;;
MARKS, Geoffrey & BEATTY, W. K.;EUA;(s.d.);Inglês;EUA;MARKS, Geoffrey & BEATTY, W. K. Woman in White. Nova York: Charles Scribners's Sons, p. 87-93.;;;;;;;;;;;;;;;;;;;;;
MOTT, M.L.B.;Brasil;1999;Português;Brasil;MOTT, M.L.B. De educadora à médica: trajetória de uma pioneira metodista. Revista do Cogeime, n.º 15, Dez/1999.;;;;;;;;;;;;;;;;;;;;;
MOTT, Maria Lúcia de Barros;Brasil;2000;Português;Brasil;MOTT, Maria Lúcia de Barros. Maria Renotte, uma médica paulista no início do século. In: Médicis: cultura, ciência e saúde. Ano 2 – Edição n.º 7 – Nov./Dez. de 2000.;;;;;;;;;;;;;;;;;;;;;
RAGO, Margareth;Brasil;1991;Português;Brasil;RAGO, Margareth. Os Prazeres da Noite: prostituição e códigos da sexualidade feminina em São Paulo (1890-1930). Rio de Janeiro: Paz e Terra, 1991, p. 149.;;;;;;;;;;;;;;;;;;;;;
SAFFIOTI, H.I.B.;Brasil;1987;Português;Brasil;SAFFIOTI, H.I.B. O Poder do Macho. São Paulo: Moderna, 1987, p. 60.;;;;;;;;;;;;;;;;;;;;;
SAFFIOTI, Heleieth I. B.;Brasil;1985;Português;Brasil;SAFFIOTI, Heleieth I. B. Força de trabalho feminina no Brasil: no interior das cifras. In Perspectiva, 8:95-141, São Paulo, 1985.;;;;;;;;;;;;;;;;;;;;;
SAFFIOTI, Heleieth I. B.;Brasil;1999;Português;Brasil;SAFFIOTI, Heleieth I. B. O estatuto teórico da violência de gênero. In: Santos, José Vicente Tavares (org.) Violência em tempo de globalização. São Paulo: Hucitec,1999, p.156.;;;;;;;;;;;;;;;;;;;;;
SAFFIOTI, Heleieth I.B.;Brasil;1979;Português;Brasil;SAFFIOTI, Heleieth I.B. A mulher na sociedade de classes: mito e realidade. Petrópolis: Vozes, 1979.;;;;;;;;;;;;;;;;;;;;;
SAFFIOTI, Heleieth I. B.;Brasil;2000;Português;Brasil;SAFFIOTI, Heleieth I. B. Gênero e Patriarcado. (mimeo) São Paulo: 2000, p. 56.;;;;;;;;;;;;;;;;;;;;;
SAFFIOTI, Heleieth I.B.;Brasil;1992;Português;Brasil;"SAFFIOTI, Heleieth I.B. Rearticulando gênero e classe social. In: Costa, Albertina de O. e Bruschini Cristina (orgs.). Uma questão de gênero. Rio de Janeiro: Rosa dos Tempos; São Paulo: Fundação Carlos Chagas,1992.";;;;;;;;;;;;;;;;;;;;;
SCOTT, Joan;Brasil;1995;Português (tradução EN>PT);EUA;SCOTT, Joan. Gênero: uma categoria útil de análise histórica. Mulher e realidade: mulher e educação. Porto Alegre, Vozes,v.16, n.º 2, julho/dez, 1995.;;;;;;;;;;;;;;;;;;;;;
SHUMAHER, Shuma e Brazil, Érico V.;Brasil;2000;Português;Brasil;SHUMAHER, Shuma e Brazil, Érico V. Dicionário Mulheres do Brasil: de 1500 até a atualidade. Rio de Janeiro: Zahar, 2000.;;;;;;;;;;;;;;;;;;;;;
SILVA, Alberto;Brasil;1954;Português;Brasil;SILVA, Alberto. A Primeira médica do Brasil. Rio de Janeiro: Irmãos Pongetti, 1954.;;;;;;;;;;;;;;;;;;;;;
SIMÕES DE PAULA, M. Regina;Brasil;1988;Português;Brasil;"SIMÕES DE PAULA, M. Regina. ""A primeira médica brasileira"". In: D. O. Leitura, Abril, 1988.";;;;;;;;;;;;;;;;;;;;;
SOIHET, Raquel;Brasil;1989;Português;Brasil;SOIHET, Raquel. Condição feminina e Formas de Violência: mulheres pobres e ordem urbana – 1890-1929. Rio de Janeiro: Forense, 1989.;;;;;;;;;;;;;;;;;;;;;
VIDAL, Olímio Barros;Brasil;1955;Português;Brasil;VIDAL, Olímio Barros. Precursoras Brasileiras. Rio de Janeiro: A Noite, 1955.;;;;;;;;;;;;;;;;;;;;;
HEIN, Piet;EUA;1966;Inglês;EUA;HEIN, Piet. Dream interpretation simplified. In: HEIN, P. com a assistência de ARUP, Jens. Grooks. Garden City. New York, 1966, p.12.;;;;;;;;;;;;;;;;;;;;;
KINCAID, Jamaica;EUA;1995;Inglês;EUA;KINCAID, Jamaica. Putting myself together. New Yorker, lxxi, nº 1, 20/27 de Fevereiro de 1995, pp.93-101.;;;;;;;;;;;;;;;;;;;;;
LOVE, Jean O.;EUA;1977;Inglês;EUA;LOVE, Jean O. Virginia Woolf: Sources of Madness and Art. Berkeley, 1977, pp.284 e 287.;;;;;;;;;;;;;;;;;;;;;
MERTON, Robert K.;EUA;1992;Inglês;EUA;MERTON, Robert K. Forward into the past: For May Sarton on her eightieth birthday. NH, Concord, maio de 1992.;;;;;;;;;;;;;;;;;;;;;
PETERS, Margot;EUA;1997;Inglês;EUA;PETERS, Margot. May Sarton: A Biography. New York, 1997.;;;;;;;;;;;;;;;;;;;;;
POOLE, Roger;Inglaterra;1978;Inglês;Inglaterra;POOLE, Roger. The unknown Virginia Woolf. Cambridge, 1978, p.14.;;;;;;;;;;;;;;;;;;;;;
PORTER, Roy;Inglaterra;1997;Inglês;Inglaterra;PORTER, Roy. The greatest benefit to mankind: A medical history of humanity from antiquity to the present. London, 1997, p.704.;;;;;;;;;;;;;;;;;;;;;
PYENSON, Lewis;EUA;1993;Inglês;EUA;PYENSON, Lewis. Prerogatives of European Intellect: Historians of Science and the Promotion of Western Civilization. History of Science (31), 1993, pp.289-315.;;;;;;;;;;;;;;;;;;;;;
PYENSON, Lewis;EUA;1995;Inglês;EUA;PYENSON, Lewis. Inventory as a Route to Understanding: Sarton, Neugebauer, and Sources. History of Science (33), 1995, pp.253-82.;;;;;;;;;;;;;;;;;;;;;
ROSENBAUM, S. P.;Inglaterra;1983;Inglês;Inglaterra;ROSENBAUM, S. P. An Educated Man's Daughter: Leslie Stephen, Virginia Woolf and the Bloomsbury Group. In: ed. CLEMENTS, Patricia e GRUNDY DON, Isobel. (eds.) Virginia Woolf: New critical essays. 1983, p.35.;;;;;;;;;;;;;;;;;;;;;
SARTON, George;EUA;1952;Inglês;EUA;SARTON, George. Eleanor Mabel Elwes: The adventures of a scholar's wife. 1952.;;;;;;;;;;;;;;;;;;;;;
SARTON, George;Bélgica;1905;Francês;Bélgica;SARTON, George. La vie de poète. Ghent, 1905, citações nas páginas 11, 21, 26 e 28-29.;;;;;;;;;;;;;;;;;;;;;
SARTON, George;EUA;1936;Inglês;EUA;SARTON, George. The Study of the History of Mathematics. MA, Cambridge, 1936, 7, reimpresso por Dover em 1957.;;;;;;;;;;;;;;;;;;;;;
SARTON, George;EUA;1937;Inglês;EUA;SARTON, George. Unification of good will. Isis, xvii, 1937, pp.211-15.;;;;;;;;;;;;;;;;;;;;;
SARTON, May;EUA;1994;Inglês;EUA;SARTON, May. After the war. Concord, NH, 1994.;;;;;;;;;;;;;;;;;;;;;
SHERMAN, Susan (ed.);EUA;1997;Inglês;EUA;SHERMAN, Susan. (ed.) May Sarton. Selected letters, 1916-1954. Nova York, 1997, p.345.;;;;;;;;;;;;;;;;;;;;;
SMILES, Samuel;Inglaterra;1884;Inglês;EUA;SMILES, Samuel. Character. London, 1884, p.166.;;;;;;;;;;;;;;;;;;;;;
ARTAUD, Antonin;Portugal;sd;Português (tradução FR>PT);França;ARTAUD, Antonin. Para Acabar com O juízo de Deus. Lisboa, &etc.;;;;;;;;;;;;;;;;;;;;;
ARTAUD, Antonin;Portugal;sd;Português (tradução FR>PT);França;ARTAUD, Antonin. Teatro da Crueldade. Lisboa, &etc, p.3.;;;;;;;;;;;;;;;;;;;;;
BENJAMIN, Walter;França;1989;Francês;França;BENJAMIN, Walter. Le Livre des Passages. Paris Capitale du XIX Siècle. Paris, Cerf, 1989, p.36 (trata-se do 1º. exposé).;;;;;;;;;;;;;;;;;;;;;
BENJAMIN, Walter;Portugal;1992;Português (tradução DE>PT);Alemanha;BENJAMIN, Walter. O Narrador. In: Sobre Arte, Técnica, Linguagem e Política. Lisboa, Relógio d'Água, 1992, p.28.;;;;;;;;;;;;;;;;;;;;;
DELEUZE, Gilles & GUATTARI, Félix;França;sd;Francês;França;DELEUZE, Gilles & GUATTARI, Félix. Qu'est-ce que la Philosophie. Paris, Minuit, p.106.;;;;;;;;;;;;;;;;;;;;;
JAMESON, Frederic;EUA;1994;Inglês;EUA;"JAMESON, Frederic. The Seeds of Time. Columbia, Columbia University Press, 1994, nomeadamente o capítulo ""Utopia, modernism and death"", pp.73-128.";;;;;;;;;;;;;;;;;;;;;
MACPHERSON, Crawford B.;Inglaterra;1962;Inglês;Inglaterra;MACPHERSON, Crawford B. The Political Theory of Possessive Individualism. 1Cambrigde, C. U.P., 1962.;;;;;;;;;;;;;;;;;;;;;
MIRZOEFF, Nicholas;Inglaterra;1995;Inglês;Inglaterra;MIRZOEFF, Nicholas. Bodyscape. Art, Modernity and the Ideal Figure. Londres, Routledge, 1995, p.1.;;;;;;;;;;;;;;;;;;;;;
POE, Edgar Allan;Portugal;1944;Português (tradução EN>PT);EUA;"POE, Edgar Allan. Contos Completos. II volume, Coimbra, Editorial ""Saber"", 1944, pp.193-219. (Trad.: De Manuel Barbosa).";;;;;;;;;;;;;;;;;;;;;
ROHDE, Erwin;México;1994 (1876);Espanhol (tradução DE>ES);Alemanha;RHODE, Erwin (1876). Psique. La idea del alma y la inmortalidad entre los gregos. Ciudad de México, FCE, 3ed. 1994, p.10.;;;;;;;;;;;;;;;;;;;;;
RORTY, Richard;Inglaterra;1989;Inglês;Inglaterra;RORTY, Richard. Contingency, Irony, and Solidarity. Cambridge, Cambridge UP, 1989, p.XIV.;;;;;;;;;;;;;;;;;;;;;
SIEBERS, Tobin (org.);EUA;1995;Inglês;EUA;SIEBERS, Tobin, (org.) Heterotopia. Postmodern Utopia and the Body Politic. Institute for the Humanities, University of Michigan Press, 1995.;;;;;;;;;;;;;;;;;;;;;
VATTIMO, Gianni;Portugal;1992 (1989);Português;Portugal;VATTIMO, Gianni. A Sociedade Transparente. Lisboa, Relógio d'Água, 1992, p.76. [La Società Transparente, 1989.];;;;;;;;;;;;;;;;;;;;;
ALVAREZ, Sonia;EUA;1990;Inglês;EUA;ALVAREZ, Sonia. Engendering Democracy in Brazil: Women's Movements in Transition Politics. Princeton, Princeton University Press, 1990.;;;;;;;;;;;;;;;;;;;;;
ANISTIA INTERNACIONAL NOVA YORK;EUA;1994;Inglês;EUA;ANISTIA INTERNACIONAL NOVA YORK. Breaking the Silence: Human Rights violations Based on Sexual Orientation. Nova York, Amnesty International Publications, 1994, pp.13-14;;;;;;;;;;;;;;;;;;;;;
BLANDER, Mario;Brasil;1983;Português;Brasil;Blander, Mario. Lucros do lazer gay: os donos da noite descobrem novo filão. Isto É, 27 de abril de 1983, pp.76-77.;;;;;;;;;;;;;;;;;;;;;
BRYANT, Gigi;Brasil;1964;Português;Brasil;BRYIANT, Gigi. Da Arte de Caçar. O Snob (2), nº 10, 15 de agosto de 1964, p.6. (capítulo 7 - Clube de Campo Gay.);;;;;;;;;;;;;;;;;;;;;
Dignidade;Brasil;1994/1995;Português;Brasil;"Dignidade, Grupo de Conscientização e Emancipação Homossexual. News from Brazil, nº 2, junho de 1994, pp.2-3; Reclamando nossos direitos, Jornal Folha de Parreira 3, nº 25, Curitiba, maio de 1995, p.2";;;;;;;;;;;;;;;;;;;;;
FRY, Peter;Brasil;1982;Português;Brasil;FRY, Peter. Para inglês ver: Identidade e políticia na cultura brasileira. Rio de Janeiro, Zahar, 1982.;;;;;;;;;;;;;;;;;;;;;
FRY, Peter e MACRAE, Edward;Brasil;1983;Português;Brasil;FRY, Peter e MACRAE, Edward. O que é homossexualidade. São Paulo, Brasiliense, 1983;;;;;;;;;;;;;;;;;;;;;
GODOY, Marcelo;Brasil;1994;Português;Brasil;GODOY, Marcelo. Justiça reduz pena de matador de travesti. Folha de S.Paulo, 9 de outubro de 1994, p.4.;;;;;;;;;;;;;;;;;;;;;
GREEN, James N.;EUA;1994;Inglês;EUA;GREEN, James N. The Emergence of the Brazilian Gay Liberation Movement, 1977-1981. Latin American Perspectives, vol. 21, nº 1, winter 1994, pp.38-55;;;;;;;;;;;;;;;;;;;;;
GRUPO GAY DA BAHIA;Brasil;s.d.;Português;Brasil;GRUPO GAY DA BAHIA. Grupos de extermínio no Brasil. Panfleto, s.d.;;;;;;;;;;;;;;;;;;;;;
GRUPO GAY DA BAHIA;Brasil;1998;Português;Brasil;GRUPO GAY DA BAHIA. Violação dos direitos humanos e assassinato de homossexuais no Brasil – 1997. Boletim do Grupo Gay da Bahia, nº 37, janeiro./fevereiro de 1998, pp.32-48.;;;;;;;;;;;;;;;;;;;;;
GRUPO OUTRA COISA;Brasil;1983;Português;Brasil;GRUPO OUTRA COISA. (Ação Homossexualista). Informe à coletividade homossexual de São Paulo. Panfleto mimeografado, junho de 1983.;;;;;;;;;;;;;;;;;;;;;
HANCHARD, Michael George;EUA;1994;Inglês;EUA;HANCHARD, Michael George. Orpheus and Power: The Movimento Negro of Rio de Janeiro and São Paulo, 1945-1988. Princeton, Princeton University Press, 1994.;;;;;;;;;;;;;;;;;;;;;
MACRAE, Edward;EUA;1992;Inglês;EUA;MACRAE, Edward. Homosexual Identities in Transitional Brazilian Politics. In: ESCOBAR, Arturo e ALVAREZ, Sonia E. (eds.) The Making of Social Movements in Latin America: Identity, Strategy and Democracy. Boulder, Westview Press, 1992, pp.185-203;;;;;;;;;;;;;;;;;;;;;
MARINHO, Miriam;Brasil;1985;Inglês;Brasil;MARINHO, Miriam. Brazil. In. ROSENBLOOM, Rachel. (ed.) Unspoken Rules: Sexual Orientation and Women's Human Rights. San Francisco, International Gay and Lesbian Human Rights Commission, 1985, p.22.;;;;;;;;;;;;;;;;;;;;;
MASCARENHAS, João Antônio de Souza;Brasil;1997;Português;Brasil;MASCARENHAS, João Antônio de Souza. A tríplice conexão: Machismo, conservadorismo político e falso moralismo, um ativista guei versus noventa e seis parlamentares. Rio de Janeiro, 2AB Editora, 1997.;;;;;;;;;;;;;;;;;;;;;
MISSE, Michel;Brasil;1979;Português;Brasil;MISSE, Michel. O estigma do passivo sexual: um símbolo de estigma no discurso cotidiano. Rio de Janeiro, Achiamé, 1979;;;;;;;;;;;;;;;;;;;;;
MOTT, Luiz R. B.;EUA;1995;Inglês;EUA;MOTT, Luiz R. B. The Gay Movement and Human Rights in Brazil. In: MURRAY, Stephen O. (ed.) Latin American Male Homosexualities. Albuquerque, University of New Mexico Press, 1995, pp.221-30.;;;;;;;;;;;;;;;;;;;;;
MURRAY, Stephen O. (ed.);EUA;1995;Inglês;EUA;MURRAY, Stephen O. (ed.) Latin American Male Homosexualities. Albuquerque, University of New Mexico Press, 1995, p.59;;;;;;;;;;;;;;;;;;;;;
PARKER, Richard;Inglaterra;1993;Inglês;Inglaterra;PARKER, Richard. AIDS in Brazil. In: DANIEL, Herbert e PARKER, Richard. (eds.) AIDS in Brazil: In Another World? London, Falmer, 1993, pp.11-12. (Tradução do autor.);;;;;;;;;;;;;;;;;;;;;
PARKER, Richard;EUA;1999;Inglês;EUA;PARKER, Richard. Beneath the Equator: Cultures of Desire, Male Homosexuality, and Emerging Gay Communities in Brazil. New York, Routledge, 1999;;;;;;;;;;;;;;;;;;;;;
PIERANGELLI, José Henrique (ed.);Brasil;1980;Português;Brasil;PIERANGELLI, José Henrique. (ed.) Códigos penais do Brasil: evolução histórica. Barru, Jalovi, 1980, p.26;;;;;;;;;;;;;;;;;;;;;
